id,distance_km,time_min,source_id,destination_id
# Line 1 (Total 11.4 km, 11 segments)
1,1.04,2,1,2
2,1.04,2,2,1
3,1.04,2,2,3
4,1.04,2,3,2
5,1.04,2,3,4
6,1.04,2,4,3
7,1.04,2,4,5
8,1.04,2,5,4
9,1.04,2,5,6
10,1.04,2,6,5
11,1.04,2,6,7
12,1.04,2,7,6
13,1.04,2,7,8
14,1.04,2,8,7
15,1.04,2,8,9
16,1.04,2,9,8
17,1.04,2,9,10
18,1.04,2,10,9
19,1.04,2,10,11
20,1.04,2,11,10
21,1.04,2,11,12
22,1.04,2,12,11

# Line 2A (Total 18.6 km, 16 segments)
23,1.16,2,13,14
24,1.16,2,14,13
25,1.16,2,14,15
26,1.16,2,15,14
27,1.16,2,15,16
28,1.16,2,16,15
29,1.16,2,16,17
30,1.16,2,17,16
31,1.16,2,17,18
32,1.16,2,18,17
33,1.16,2,18,19
34,1.16,2,19,18
35,1.16,2,19,20
36,1.16,2,20,19
37,1.16,2,20,21
38,1.16,2,21,20
39,1.16,2,21,22
40,1.16,2,22,21
41,1.16,2,22,23
42,1.16,2,23,22
43,1.16,2,23,24
44,1.16,2,24,23
45,1.16,2,24,25
46,1.16,2,25,24

# Line 3 (Total 33.5 km, 26 segments)
47,1.29,3,26,27
48,1.29,3,27,26
49,1.29,3,27,28
50,1.29,3,28,27
51,1.29,3,28,29
52,1.29,3,29,28
53,1.29,3,29,30
54,1.29,3,30,29
55,1.29,3,30,31
56,1.29,3,31,30
57,1.29,3,31,32
58,1.29,3,32,31
59,1.29,3,32,33
60,1.29,3,33,32
61,1.29,3,33,34
62,1.29,3,34,33
63,1.29,3,34,35
64,1.29,3,35,34
65,1.29,3,35,36
66,1.29,3,36,35
67,1.29,3,36,37
68,1.29,3,37,36
69,1.29,3,37,38
70,1.29,3,38,37
71,1.29,3,38,39
72,1.29,3,39,38
73,1.29,3,39,40
74,1.29,3,40,39
75,1.29,3,40,41
76,1.29,3,41,40
77,1.29,3,41,42
78,1.29,3,42,41
79,1.29,3,42,43
80,1.29,3,43,42
81,1.29,3,43,44
82,1.29,3,44,43
83,1.29,3,44,45
84,1.29,3,45,44
85,1.29,3,45,46
86,1.29,3,46,45
87,1.29,3,46,47
88,1.29,3,47,46

# Interchanges (zero-distance edges)
89,0,1,2,25
90,0,1,25,2
91,0,1,8,29
92,0,1,29,8
